max_TL,SL,AM_mass,LP_mass,Gape_w,UJ_Pro,Close_Li,Open_Li,Lo,label,_key,length
390,74,0.0466,0.0002,11,1,2.58,2.17,15.72,McatD,0,6.445959
200,97,0.1522,0.0063,9.1,2,2.89,3.25,15.32,LpunB,1,2.047225
310,88,0.0965,0.0031,14.4,2.9,3.11,3.63,15.2,LgulA,2,6.6
410,93,0.0753,0.0016,7.4,3.2,2.22,2.7,11.11,LmacA,3,5.173067
400,98,0.1313,0.0265,8.8,2.7,2.81,3,10.88,LgibA,4,7.844378
250,93,0.0621,0.021,8.2,3.1,2.75,2.81,11.97,LmicA,5,3.456771
690,105,0.1259,0.0008,14.1,1.7,3.51,2.94,15.72,MdolJ,6,1.667911
150,81,0.0798,0.001,10.4,1.7,3.03,2.92,10.88,LhumA,7,5.173067
93,62,0.0298,0.0023,7.6,1.8,1.72,2.11,8.35,LsymA,8,2.589285
970,99,0.0986,0.0006,14,2,3.34,3.28,16.52,MsalA,9,2.842517
240,95,0.0917,0.0028,7,2.9,2.42,3.19,11.11,LaurA,10,4.192923
120,61,0.0227,0.0006,4.8,1.8,1.33,2.03,7.43,LmarA,11,2.721636
400,101,0.1307,0.0004,14.1,1.6,2.89,2.64,16.58,MtreE,12,4.106697
610,85,0.0749,0.0004,12.9,1.4,2.47,2.47,13.99,MpunA,13,1.667911
200,101,0.1409,0.0093,9.4,2,2.69,3.36,12.84,LminA,14,2.047225
970,103,0.1271,0.0009,15.9,2.1,3.39,2.94,18.02,MflaG,15,2.842518
360,98,0.1131,0.0005,15.2,1.8,3.14,2.69,17.56,MnotA,16,5.096276
240,97,0.1431,0.0046,10.3,2.8,3.17,3.62,10.94,LmegA,17,2.721636
470,106,0.1292,0.0009,14.6,1.8,3.03,2.97,17.5,McooG,18,5.925035
310,96,0.1169,0.0046,11.8,2.3,2.61,3.53,13.93,LcyaA,19,2.589285
