height,shuf,scale,x4,x5,x6,x7,label,_key,length
0.35,0.5,10.99040233,0.000371722,146.1768716,1.732290117,123.737232,Carex_geyeri,0,4.867706
0.305,0.6,9.521304058,-0.901926458,136.4116403,1.521893979,146.2538263,Eriastrum_sparsiflorum,1,36.25315
0.5,0.6,13.39329445,-1.749556761,87.93680184,1.460125107,130.6555525,Toxicoscordion_paniculatum,2,87.908102
1.5,0.76,8.880182656,1.110815746,74.11047803,4.86297625,115.6745688,Agastache_urticifolia,3,40.288915
0.7,0.76,6.402256705,0.715930125,137.3676559,8.727386544,144.5239092,Crepis_acuminata,4,16.574461
0.3,1.22,14.77011721,-0.414026148,80.46425958,7.846139015,144.4539909,Fritillaria_pudica,5,46.247581
0.5,1.5,9.687592268,-0.603876173,38.43210825,4.78796966,105.2400386,Calochortus_eurycarpus,6,7.44255
0.5,0.5,6.57561174,0.483147108,61.59143973,4.679337116,145.8524393,Lomatium_grayi,7,2.264405
0.4,0.8,6.436566123,-0.195693214,156.3347933,5.038406329,83.83174277,Astragalus_canadensis,8,7.297488
0.4,0.35,10.18908004,0.294302987,54.15388908,7.962136739,146.0301956,Antennaria_microphylla,9,20.902902
0.7,0.305,9.857516418,1.438459776,140.7875031,2.88597918,106.5070342,Calochortus_macrocarpus,10,7.44255
1.2,0.12,9.137227257,0.331222928,65.22194962,9.896260208,135.7931376,Descurainia_incana,11,0.345117
1,0.4,8.718740621,-1.352746708,156.915673,8.253300822,104.5605594,Hackelia_floribunda,12,11.990249
0.8,0.46,11.83162956,0.245777813,39.56545543,9.41854774,108.7341214,Festuca_idahoensis,13,16.893273
0.2,0.405,8.599684636,-0.26112787,124.1264127,6.027074041,135.2045102,Galium_bifolium,14,89.751047
0.6,0.5,10.2679725,1.253421762,155.1417823,9.334376094,132.5716491,Lithospermum_ruderale,15,25.994366
2.5,0.9,10.03117393,0.977401581,127.0777763,6.972898858,71.58299755,Philadelphus_lewisii,16,90.521381
1.22,1.22,9.232523026,0.53559556,34.48127768,9.992090851,64.87395617,Phlox_aculeata,17,4.940463
1.5,1,17.07084071,0.524663633,81.69173407,4.266836759,93.96140951,Ribes_cereum,18,21.48997751
2,2,13.47050151,-0.754841643,84.1571164,5.089042749,94.59033082,Leymus_cinereus,19,5.176157
0.06,0.1,11.09626722,-0.330220374,124.2935964,4.894594375,132.449016,Phlox_hoodii,20,4.940463
1.2,2.5,11.47887793,0.277990448,136.150428,9.313157069,106.3059738,Phacelia_heterophylla,21,2.423239
0.8,0.1,8.348864655,0.213729621,37.17964158,5.089921726,83.69078375,Lomatium_ambiguum,22,2.967972
1,0.4,1.583129711,-0.241800298,72.75013009,8.910272069,102.2471702,Thalictrum_occidentale,23,42.550704
0.3,0.6,11.08186139,0.485354195,129.4673821,2.430696751,125.5677694,Allium_acuminatum,24,114.600553
0.9,0.8,10.14738751,0.927121707,76.20683383,1.009332248,97.90839346,Astragalus_calycosus,25,0.713588
0.4,0.8,10.71157872,-0.36499992,52.30977392,9.724084126,64.64738539,Polygonum_aviculare,26,42.094164
1.22,15.24,3.313768413,-0.700152014,59.25831656,1.526965634,114.7568382,Thinopyrum_junceum,27,5.76383
0.5,0.35,9.292384359,0.789051494,132.0790618,8.064796617,116.4606565,Collinsia_parviflora,28,23.986501
0.45,0.7,12.60651613,0.446346363,78.51530808,3.612162089,95.8680438,Achnatherum_occidentale,29,0.340285
0.015,1.5,6.892210272,0.219628212,81.31131837,1.712506772,155.930549,Viola_purpurea,30,2.35765
10,0.9,12.17010715,-0.276113793,148.0768958,4.623636599,127.301078,Juniperus_scopulorum,31,126.822753
1,1.2,4.923994171,-0.729900518,69.07630889,8.3362422,53.23806898,Elymus_glaucus,32,1.126403
2,2.5,7.7192088,-0.917370753,74.09615825,5.301337556,125.5082027,Purshia_tridentata,33,93.269248
0.6,0.8,12.43907301,-0.936407041,129.2707363,1.298782437,141.7825554,Agoseris_aurantiaca,34,1.214959
0.7,0.8,9.807499568,0.295035972,50.63304651,2.264383726,122.6774253,Penstemon_cyananthus,35,1.666187
3,0.8,8.97263474,-1.279969825,95.84752954,6.00010168,90.09911164,Ribes_aureum,36,21.489979
0.6,0.6,12.62073441,0.289048541,114.6167354,2.475661963,133.0003221,Chenopodium_leptophyllum,37,87.850584
0.6,1.5,12.02330825,2.31617229,36.92160296,8.675363615,111.9818733,Elymus_elymoides,38,2.828624
0.4,0.9,12.39674887,-1.585120034,50.92099961,4.921323503,115.8448619,Gayophytum_heterozygum,39,25.222946
0.1,0.7,5.495658738,0.44301053,138.4498805,7.040935956,119.5630623,Diplacus_nanus,40,25.839698
0.6,0.7,12.97909445,0.544257794,68.85722565,3.985912606,96.78904511,Penstemon_attenuatus,41,1.827337
0.8,0.9,6.918634348,1.36500062,109.8870203,6.935893776,132.7662814,Erigeron_speciosus,42,0.003502
0.4,0.46,6.609130739,1.799745986,71.88813611,4.418830114,110.6761141,Artemisia_arbuscula,43,0.056771
0.76,0.2,5.885801762,0.365160007,99.51867135,1.643215768,120.2062951,Phacelia_hastata,44,2.423241
0.15,2,7.95776421,-0.311589915,40.26755267,7.557796668,133.8748282,Cymopterus_glaucus,45,3.656439
2,0.7,6.51477491,-0.446728773,127.9774984,1.661587993,136.7511699,Chamaebatiaria_millefolium,46,50.733236
0.1,0.8,7.492530642,-0.999291993,91.21712223,2.402717072,117.5697361,Astragalus_newberryi,47,0.713587
0.23,0.8,10.02718806,-1.687485075,128.3172227,9.601111401,124.5856995,Oenothera_nuttallii,48,25.222946
0.6,0.7,8.825385849,-1.166797987,59.37634587,8.848010073,121.228772,Artemisia_tripartita,49,0.040323
0.6,0.7,10.0920781,-1.328988465,45.67565778,2.731361789,81.40050333,Chaenactis_douglasii,50,10.828308
0.25,0.35,10.18215851,1.048382375,140.9291202,3.82262917,152.8868875,Lithophragma_tenellum,51,8.80861181
0.5,91.44,9.457279177,-2.382092393,138.2604255,3.298145566,124.213643,Phlox_longifolia,52,5.430941
0.405,0.9,16.05896765,0.697989953,119.6466909,5.460724812,132.7806646,Collomia_linearis,53,19.081673
0.9,0.305,13.03452945,-1.624971279,145.115773,6.5119039,121.3468856,Cordylanthus_ramosus,54,9.780661
0.4,0.5,7.099842361,0.46140083,38.3904185,5.652805917,110.0820357,Delphinium_nuttallianum,55,2.103103
0.8,0.7,13.70219122,1.561267583,36.00548877,8.886386478,116.9984908,Boechera_divaricarpa,56,23.439208
5,0.1,10.97694876,0.397560211,85.83852396,9.017074342,105.4841845,Prunus_virginiana,57,50.733236
0.1,0.4,8.71535642,0.25083363,52.13275307,9.406470329,111.8803705,Erythranthe_suksdorfii,58,25.839699
0.4,0.25,12.01085414,0.240298082,123.8936757,7.207371959,126.9452693,Lomatium_foeniculaceum,59,3.656438
0.8,0.405,14.70096281,-1.932139208,36.56478726,1.352522831,81.74101747,Potentilla_newberryi,60,93.269237
0.2,0.4,10.10483492,0.071372507,150.7516884,9.880181832,150.8234665,Ranunculus_glaberrimus,61,41.786036
0.9,0.6,15.47607502,0.979846897,63.73102087,6.674293388,109.585102,Castilleja_chromosa,62,3.931988
0.4,0.6,9.273365745,-0.324650659,85.52776197,9.719165122,100.1324765,Mentzelia_albicaulis,63,90.52138
0.32,1.22,10.10679081,-1.699267653,129.0453192,3.899293543,98.4297145,Gilia_inconspicua,64,17.5938
0.4,0.5,12.73033249,1.065866333,136.4417019,9.778695071,158.1584774,Penstemon_procerus,65,1.666187
0.4,0.6,14.55386217,2.510467586,153.7957469,6.401867799,110.2926309,Lappula_redowskii,66,11.990247
2.8,0.305,5.69977223,-0.525736438,38.13965691,4.892644553,124.8976867,Ericameria_nauseosa,67,3.973702
0.8,0.305,11.81017358,1.200491725,109.7575359,6.385871006,81.35334987,Senecio_triangularis,68,21.448757
0.6,0.5,5.868323404,0.567163396,110.2608704,5.484065185,97.05181102,Arnica_cordifolia,69,10.82831
0.7,0.6,8.24442671,-2.599819127,52.5804476,8.836905771,110.258425,Agoseris_grandiflora,70,1.214959
0.405,0.4,13.72726639,-0.733372335,106.7971673,5.352277996,125.9669659,Lupinus_argenteus,71,64.215896
0.7,5,9.394297832,-0.791373449,116.8628101,1.127145175,94.52747105,Descurainia_pinnata,72,0.345117
1.5,1.5,13.6659107,1.711351837,141.2293029,5.094285754,125.263419,Symphoricarpos_oreophilus,73,85.640641
25,0.9,10.80915782,-0.938983773,49.59524298,3.052349346,131.6846382,Alnus_incana,74,111.14798
0.15,0.4,9.777365438,0.738514379,96.28012029,7.326287163,97.63866413,Orobanche_fasciculata,75,33.363343
0.915,0.3,9.870120459,-1.235983294,96.37008679,3.247340294,114.6052486,Elymus_lanceolatus,76,1.126403
0.12,0.1,12.27442977,0.140047065,88.30704363,1.636519118,113.5249441,Viola_glabella,77,2.357649
0.8,0.7,14.15809381,-1.04234262,153.8434408,7.049523254,108.6339504,Castilleja_miniata,78,3.931987
0.305,0.3,12.89096283,0.36970137,57.68797743,1.137979307,124.8374807,Heuchera_parvifolia,79,8.808609838
0.7,1.22,7.520988166,-0.319102683,47.89405738,6.534319291,108.2110512,Stephanomeria_tenuifolia,80,8.97546
0.8,0.405,7.687301274,-0.099026548,32.43667535,4.06534886,110.7044767,Lomatium_idahoense,81,2.264405
0.6,1.22,16.99627105,0.653539705,58.46538078,3.039195812,110.654774,Trifolium_variegatum,82,32.259829
0.8,1.5,13.43102999,0.747515379,95.15671127,5.250769828,120.7621521,Erigeron_subtrinervis,83,0.003503
0.305,0.5,8.640401881,-0.836104715,38.77856198,8.36726574,120.1570774,Opuntia_polyacantha,84,42.804504
0.46,0.5,5.353212238,0.244823131,154.5174907,6.54302896,120.2814909,Hydrophyllum_canadense,85,23.994156
0.1,0.25,4.018424485,-0.711671935,128.8673064,4.813204806,136.2687023,Eriogonum_caespitosum,86,42.094165
0.915,0.35,8.954104798,1.312089062,59.75946675,1.702818891,99.37452369,Agropyron_cristatum,87,5.176155
0.6,0.3,16.21873569,0.328405767,127.4764761,7.68007285,109.7957218,Lepidium_perfoliatum,88,23.439208
0.6,0.7,8.896759533,-0.379926663,145.8090373,2.663637686,114.7185542,Koeleria_macrantha,89,16.893275
0.25,0.8,7.068270482,0.256274923,65.32858848,1.798576883,96.68687241,Alyssum_desertorum,90,27.066955
0.405,2,9.116600631,-0.612450265,61.65574143,4.2069519,82.85251427,Achillea_millefolium,91,5.720469
1,0.12,6.557984017,-0.829468446,51.93869964,8.681194127,140.3038866,Chrysothamnus_viscidiflorus,92,3.973704
0.7,0.2,8.782117631,0.336090797,118.2298221,5.578695962,102.7381739,Achnatherum_richardsonii,93,0.758997
91.44,0.3,7.429759037,-0.737386576,147.5309056,2.362006145,114.4899099,Pseudotsuga_menziesii,94,38.797572
1,1,10.86764569,-0.878315618,115.2153211,8.899207978,104.3163845,Epilobium_ciliatum,95,25.752817
0.1,2,11.58232827,0.063654451,96.35725549,2.790491474,119.2070559,Mimulus_ringens,96,33.240531
0.5,0.4,3.556037838,-0.219173945,32.11793297,7.293461325,125.8754318,Thlaspi_arvense,97,26.481551
0.35,0.2,11.17320546,-1.198974211,69.01200565,6.511232321,103.4809226,Lathrocasis_tenerrima,98,17.5938
0.6,1.2,8.314819471,0.666465803,106.4297432,6.755148935,144.6738523,Delphinium_andersonii,99,2.103103
0.5,0.2,7.651738271,-1.120826708,153.5228175,7.021816559,104.0792132,Erigeron_pumilus,100,0.906043
0.9,2,10.87572681,0.229028606,134.6493051,8.021102816,109.8221549,Lomatium_nudicaule,101,2.505986
0.2,0.305,7.374192025,0.466748778,33.21899247,9.437444543,99.30435002,Draba_alpina,102,26.934409
0.8,0.06,14.92841014,0.992150751,106.9972838,8.915725788,119.193546,Balsamorhiza_sagittata,103,17.695325
1.5,0.9,11.47160037,-0.260675847,117.106897,2.472643378,97.53892822,Sisymbrium_altissimum,104,26.48155
0.2,0.4,14.72934383,-1.240750478,38.65808669,2.998663673,79.70184753,Montia_chamissoi,105,42.804504
15.24,0.7,4.550130124,0.336420158,68.92437133,2.928948552,122.1478698,Pinus_flexilis,106,38.797573
0.46,0.3,13.95464356,-0.872158172,61.97422705,1.466369514,104.3360443,Carex_backii,107,4.867706
0.7,0.305,13.09796311,1.17645804,126.9235237,2.703183622,113.3204779,Achnatherum_nelsonii,108,0.340285
0.6,0.4,6.581180365,-0.114671005,35.79330185,6.529727334,126.5746175,Amsinckia_tessellata,109,18.624577
2,0.6,11.03818013,0.120378331,91.80289362,5.878337354,96.35213127,Artemisia_tridentata,110,0.040323
1.5,0.8,7.08758767,0.953975116,115.4112659,2.503944814,117.4696183,Lomatium_dissectum,111,2.967973
0.6,0.1,10.69699513,-0.976986706,126.9094119,1.35643643,126.3816552,Cornus_sericea,112,97.987553
